ticker,open,high,low,close,volume,dividends,stock splits,date,ccy
HON,207.45501408335315,209.42141232111007,206.14735745495346,209.12644958496094,1406400,0.0,0,2020-12-31,USD
HON,209.26409612607986,209.43123817541044,202.8929700588177,204.4562530517578,2328900,0.0,0,2021-01-04,USD
HON,203.50255708426138,206.6586329757187,203.50255708426138,204.95770263671875,2172100,0.0,0,2021-01-05,USD
HON,205.93106042557045,210.38495140642195,205.71475541084416,208.69384765625,2747900,0.0,0,2021-01-06,USD
HON,209.31327369732284,210.41445198270796,207.25839100319203,209.03797912597656,2057300,0.0,0,2021-01-07,USD
HON,209.22477804904162,209.82453011896777,204.1809617069155,206.50131225585938,3278900,0.0,0,2021-01-08,USD
HON,204.613559972612,206.09818517407587,204.33826543197534,204.85935974121094,2938900,0.0,0,2021-01-11,USD
HON,204.367783872409,205.9605617566175,201.81145998195402,205.3706512451172,2498800,0.0,0,2021-01-12,USD
HON,204.780710862364,205.1149949615185,202.93229172186355,203.54188537597656,2145100,0.0,0,2021-01-13,USD
HON,204.54474810663825,206.25552005813464,203.69919622290033,205.1051788330078,3661500,0.0,0,2021-01-14,USD
HON,204.04330969253792,204.36776719848436,201.7524539705,202.509521484375,3887500,0.0,0,2021-01-15,USD
HON,204.7414004554059,205.25265322179186,202.9814655406593,203.2862548828125,2656300,0.0,0,2021-01-19,USD
HON,204.4267604669998,205.16415981146147,203.19776155956373,204.58407592773438,2452400,0.0,0,2021-01-20,USD
HON,203.38457127629206,204.31860744308085,201.65414621989987,201.78195190429688,2705100,0.0,0,2021-01-21,USD
HON,200.8282604869766,201.02491232627204,198.0064836217491,198.85203552246094,3502700,0.0,0,2021-01-22,USD
HON,197.95731446101044,199.15681863147958,196.73815710917054,198.47840881347656,4737700,0.0,0,2021-01-25,USD
HON,200.41529910872143,201.32968206461314,197.60334910836625,197.6820068359375,2201900,0.0,0,2021-01-26,USD
HON,194.78159101389213,197.38706285147768,193.22813450230996,196.03025817871094,4108600,0.0,0,2021-01-27,USD
HON,197.24941031607628,201.89995313608185,196.27605275101863,199.43211364746094,3731700,0.0,0,2021-01-28,USD
HON,193.2084624142251,197.56404251420506,191.2814004531731,192.08761596679688,4635100,0.0,0,2021-01-29,USD
HON,194.230985677125,194.44729067984446,191.99911951402575,192.2744140625,2889000,0.0,0,2021-02-01,USD
HON,194.5062930086302,197.49521187525275,194.19166207402324,196.7578125,2767800,0.0,0,2021-02-02,USD
HON,196.2760692936427,196.5415222869795,194.09336577829447,195.79429626464844,1910100,0.0,0,2021-02-03,USD
HON,196.4726837308694,198.0753031117737,195.48948460195695,197.21990966796875,2273300,0.0,0,2021-02-04,USD
HON,198.83236288103143,200.4448089110782,197.89832667503134,199.51077270507812,1868100,0.0,0,2021-02-05,USD
HON,200.39566093428846,201.45750282994229,199.15682038531122,200.4349822998047,2075700,0.0,0,2021-02-08,USD
HON,200.17934137731936,200.37597819547466,197.70167546176538,198.62588500976562,1794000,0.0,0,2021-02-09,USD
HON,199.58943351520196,199.93355922913076,197.80000380665842,198.7635498046875,1894600,0.0,0,2021-02-10,USD
HON,198.78318786621094,199.68774424503144,197.50504103153435,198.78318786621094,1709000,0.0,0,2021-02-11,USD
HON,198.9699904260266,200.3661313011421,198.2620858974572,200.14984130859375,1990300,0.0,0,2021-02-12,USD
HON,201.4181746576959,202.1162526420548,198.48824544681838,200.02203369140625,2283400,0.0,0,2021-02-16,USD
HON,197.97698310833985,198.79304020999123,196.50218437094233,198.50790405273438,2910200,0.0,0,2021-02-17,USD
HON,198.1146262897564,201.37885462879782,197.27890102155783,200.10069274902344,1764900,0.0,0,2021-02-18,USD
HON,200.69060376675276,203.3550800386913,199.90405645626143,200.1400146484375,2434400,0.0,0,2021-02-19,USD
HON,199.62874782249668,200.8675883468921,199.01916915330423,200.19900512695312,2205300,0.0,0,2021-02-22,USD
HON,201.5656590333087,202.38171615519605,199.55993930178033,201.59515380859375,2459300,0.0,0,2021-02-23,USD
HON,201.44768505308355,208.57587930846722,200.08103875456234,207.48452758789062,3341500,0.0,0,2021-02-24,USD
HON,207.33638396132577,207.84004474783066,201.71721488258973,202.24061584472656,2735000,0.93,0,2021-02-25,USD
HON,203.07016042019677,203.23804231787284,199.55448051866134,199.83099365234375,3665700,0.0,0,2021-02-26,USD
HON,201.786345542116,205.55878342189575,201.15431335482558,203.65281677246094,2536000,0.0,0,2021-03-01,USD
HON,204.19596844022814,205.40078212505776,202.62575055994327,204.00833129882812,2500200,0.0,0,2021-03-02,USD
HON,203.55404817589616,206.84259547456531,203.55404817589616,204.43296813964844,2706400,0.0,0,2021-03-03,USD
